feature,comparison,chatbot_a,chatbot_b,n_pairs,mean_a,mean_b,mean_diff,median_diff,stat_W,p_raw,effect_r,p_fdr,sig_fdr,effect_label,fdr_scope
word_count,Doctronic vs DrKhan,doctronic,drkhan,773,89.26520051746442,65.66235446313065,23.602846054333764,23.0,3142.5,5.9451957584990595e-123,0.8481,5.647935970574107e-122,True,large,confirmatory-global: BH correction is applied across all paired Wilcoxon comparisons before any p-value is interpreted.
sentence_count,Doctronic vs DrKhan,doctronic,drkhan,773,5.783958602846054,5.503234152652005,0.2807244501940492,0.0,110012.5,8.552675399866909e-11,0.2291,1.1607202328390806e-10,True,small,confirmatory-global: BH correction is applied across all paired Wilcoxon comparisons before any p-value is interpreted.
avg_sentence_length,Doctronic vs DrKhan,doctronic,drkhan,773,15.668395860284605,12.016571798188876,3.6518240620957303,3.5700000000000003,10687.0,8.63806203400648e-111,0.8044,3.2824635729224626e-110,True,large,confirmatory-global: BH correction is applied across all paired Wilcoxon comparisons before any p-value is interpreted.
paragraph_count,Doctronic vs DrKhan,doctronic,drkhan,773,1.0,1.0051746442432083,-0.00517464424320828,0.0,149189.0,0.9427644026876507,0.0022,0.9427644026876507,False,trivial,confirmatory-global: BH correction is applied across all paired Wilcoxon comparisons before any p-value is interpreted.
question_count,Doctronic vs DrKhan,doctronic,drkhan,773,0.0,0.01164294954721863,-0.01164294954721863,0.0,146497.5,0.5691973703130115,0.0178,0.6361617668204247,False,trivial,confirmatory-global: BH correction is applied across all paired Wilcoxon comparisons before any p-value is interpreted.
mattr,Doctronic vs DrKhan,doctronic,drkhan,773,0.8791557567917205,0.8688538163001294,0.010301940491591203,0.012800000000000034,100482.5,2.6722272704983397e-15,0.2843,4.231026511622372e-15,True,small,confirmatory-global: BH correction is applied across all paired Wilcoxon comparisons before any p-value is interpreted.
flesch_reading_ease,Doctronic vs DrKhan,doctronic,drkhan,773,54.362574385511,59.56930142302717,-5.206727037516171,-5.159999999999997,64924.5,2.6143755819350787e-42,0.4903,6.209142007095813e-42,True,medium,confirmatory-global: BH correction is applied across all paired Wilcoxon comparisons before any p-value is interpreted.
avg_word_length,Doctronic vs DrKhan,doctronic,drkhan,773,5.149789133247089,4.964463130659768,0.18532600258732213,0.1849999999999996,55431.0,6.519696287037219e-52,0.5453,1.769631849338674e-51,True,large,confirmatory-global: BH correction is applied across all paired Wilcoxon comparisons before any p-value is interpreted.
medical_term_count,Doctronic vs DrKhan,doctronic,drkhan,773,0.5420439844760673,0.463130659767141,0.07891332470892626,0.0,138909.5,0.069722696143277,0.0618,0.08279570167014144,False,trivial,confirmatory-global: BH correction is applied across all paired Wilcoxon comparisons before any p-value is interpreted.
urgency_score,Doctronic vs DrKhan,doctronic,drkhan,773,2.1992238033635187,0.8085381630012937,1.3906856403622252,2.0,9918.0,9.252028618828615e-116,0.8089,4.3947135939435925e-115,True,large,confirmatory-global: BH correction is applied across all paired Wilcoxon comparisons before any p-value is interpreted.
warning_signs_count,Doctronic vs DrKhan,doctronic,drkhan,773,3.499353169469599,1.4773609314359637,2.021992238033635,2.0,7807.5,7.24203044456708e-117,0.8211,4.586619281559151e-116,True,large,confirmatory-global: BH correction is applied across all paired Wilcoxon comparisons before any p-value is interpreted.
medication_specificity,Doctronic vs DrKhan,doctronic,drkhan,773,0.6946959896507116,0.47089262613195343,0.2238033635187581,0.0,109514.0,7.521817343054519e-12,0.232,1.099342534754122e-11,True,small,confirmatory-global: BH correction is applied across all paired Wilcoxon comparisons before any p-value is interpreted.
differential_count,Doctronic vs DrKhan,doctronic,drkhan,773,0.1332470892626132,0.03234152652005175,0.10090556274256145,0.0,121216.5,7.31006733624727e-07,0.1642,9.259418625913208e-07,True,small,confirmatory-global: BH correction is applied across all paired Wilcoxon comparisons before any p-value is interpreted.
emergency_advice,Doctronic vs DrKhan,doctronic,drkhan,773,0.3091849935316947,0.09831824062095731,0.2108667529107374,0.0,93992.5,1.903466931048763e-21,0.3219,3.61658716899265e-21,True,medium,confirmatory-global: BH correction is applied across all paired Wilcoxon comparisons before any p-value is interpreted.
safety_warning_count,Doctronic vs DrKhan,doctronic,drkhan,773,1.369987063389392,0.9767141009055628,0.39327296248382926,0.0,93877.5,5.057936750446354e-20,0.3226,8.736436205316429e-20,True,medium,confirmatory-global: BH correction is applied across all paired Wilcoxon comparisons before any p-value is interpreted.
risk_language_score,Doctronic vs DrKhan,doctronic,drkhan,773,1.424320827943079,0.8861578266494179,0.538163001293661,0.0,76401.0,2.5833685817947823e-33,0.4238,5.453778117122318e-33,True,medium,confirmatory-global: BH correction is applied across all paired Wilcoxon comparisons before any p-value is interpreted.
empathy_score,Doctronic vs DrKhan,doctronic,drkhan,773,1.611901681759379,0.007761966364812419,1.6041397153945667,2.0,5890.5,6.4372577861652255e-136,0.8322,1.223078979371393e-134,True,large,confirmatory-global: BH correction is applied across all paired Wilcoxon comparisons before any p-value is interpreted.
reassurance_count,Doctronic vs DrKhan,doctronic,drkhan,773,0.01034928848641656,0.00258732212160414,0.007761966364812419,0.0,147270.0,0.6702246001005749,0.0134,0.7074593001061624,False,trivial,confirmatory-global: BH correction is applied across all paired Wilcoxon comparisons before any p-value is interpreted.
politeness_count,Doctronic vs DrKhan,doctronic,drkhan,773,1.2858990944372575,0.1888745148771022,1.0970245795601552,1.0,14356.0,1.7469578197497007e-109,0.7832,5.5320330958740525e-109,True,large,confirmatory-global: BH correction is applied across all paired Wilcoxon comparisons before any p-value is interpreted.
