model,feature,coef_turn,ci_lower,ci_upper,p_raw,converged,direction,ordinal_approx,turns_included,fdr_scope,model_type,p_fdr
doctronic,word_count,1.3359710483844953,1.2344455430487091,1.4374965537202815,1.1157343194393e-146,True,increasing,False,1+,within_chatbot,MixedLM,4.239790413869341e-146
doctronic,sentence_count,0.06831525614743,0.06200916384630966,0.07462134844855035,4.763294885529496e-100,True,increasing,False,1+,within_chatbot,MixedLM,1.0647365038242401e-99
doctronic,avg_sentence_length,0.10346183118245582,0.07789383600942804,0.1290298263554836,2.1727231342731086e-15,False,increasing,False,1+,within_chatbot,MixedLM,3.589716482712093e-15
doctronic,paragraph_count,5.417648980514252e-29,-4.641449346655698e-25,4.642532876451802e-25,0.9998174866203815,True,increasing,False,1+,within_chatbot,MixedLM,0.9998174866203815
doctronic,question_count,-0.005098649656090922,-0.00915679161217458,-0.001040507700007266,0.013797263470605396,True,decreasing,False,1+,within_chatbot,MixedLM,0.016384250371343907
doctronic,mattr,-0.003715104651396725,-0.004005755425621807,-0.003424453877171644,1.647816966350662e-138,True,decreasing,False,1+,within_chatbot,MixedLM,5.692458611029559e-138
doctronic,flesch_reading_ease,-1.1508422937601814,-1.2165834111500007,-1.0851011763703622,5.475396115201802e-258,False,decreasing,False,1+,within_chatbot,MixedLM,2.6008131547208563e-257
doctronic,avg_word_length,0.029005032559371518,0.02686515899554949,0.031144906123193546,1.6586652387773655e-155,False,increasing,False,1+,within_chatbot,MixedLM,7.003253230393321e-155
doctronic,medical_term_count,0.016780547527858035,0.015081202173941351,0.018479892881774717,1.8832085054267842e-83,False,increasing,False,1+,within_chatbot,MixedLM,3.7664170108535684e-83
doctronic,urgency_score,0.04948691526243296,0.0252217039224829,0.073752126602383,6.407995923153223e-05,True,increasing,False,1+,within_chatbot,CLMM,8.116794835994082e-05
doctronic,warning_signs_count,-0.03633304089062832,-0.04087892360405983,-0.03178715817719681,2.62249144037697e-55,True,decreasing,False,1+,within_chatbot,MixedLM,4.982733736716244e-55
doctronic,medication_specificity,0.2456677521887241,0.22559996789620046,0.26573553648124776,3.203090128066794e-127,True,increasing,False,1+,within_chatbot,CLMM,8.694101776181298e-127
doctronic,differential_count,0.0019005785284439735,0.0009978870831320596,0.0028032699737558873,3.681323634040668e-05,True,increasing,False,1+,within_chatbot,MixedLM,4.8238033825360476e-05
doctronic,emergency_advice,-0.0014515221989178364,-0.002035472576082203,-0.0008675718217534698,1.1054603104078784e-06,True,decreasing,False,1+,within_chatbot,MixedLM,1.55583302946294e-06
doctronic,safety_warning_count,-0.0029257283198142205,-0.0053787291242336594,-0.0004727275153947816,0.019404040361255422,True,decreasing,False,1+,within_chatbot,MixedLM,0.022344046476597153
doctronic,risk_language_score,-0.0014336807817244687,-0.004561492667416391,0.0016941311039674533,0.3689831562231226,True,decreasing,False,1+,within_chatbot,MixedLM,0.4006102838993903
doctronic,empathy_score,-0.0016567208320350585,-0.02197288699038287,0.01865944532631275,0.8730134405275842,True,stable,False,1+,within_chatbot,CLMM,0.8966083983796811
doctronic,reassurance_count,-0.009364532534088749,-0.010245827080305955,-0.008483237987871543,2.498000178625369e-96,False,decreasing,False,1+,within_chatbot,MixedLM,5.2735559326535576e-96
doctronic,politeness_count,0.040874357309757935,0.037659477438018646,0.04408923718149722,4.607096065940551e-137,True,increasing,False,1+,within_chatbot,MixedLM,1.4589137542145077e-136
drkhan,word_count,21.794090653266643,21.278291419427877,22.30988988710541,0.0,True,increasing,False,1+,within_chatbot,MixedLM,0.0
drkhan,sentence_count,0.8782973458863782,0.85616727911915,0.9004274126536064,0.0,True,increasing,False,1+,within_chatbot,MixedLM,0.0
drkhan,avg_sentence_length,0.43154520662011486,0.41200489826720466,0.45108551497302507,0.0,True,increasing,False,1+,within_chatbot,MixedLM,0.0
drkhan,paragraph_count,0.49343357829544404,0.47440867118346786,0.5124584854074202,0.0,True,increasing,False,1+,within_chatbot,MixedLM,0.0
drkhan,question_count,-0.16402572962842593,-0.16877252316929378,-0.15927893608755808,0.0,True,decreasing,False,1+,within_chatbot,MixedLM,0.0
drkhan,mattr,0.0003783429687570608,0.00022513564434823775,0.0005315502931658838,1.297745709090629e-06,True,increasing,False,1+,within_chatbot,MixedLM,1.7612263194801394e-06
drkhan,flesch_reading_ease,-1.7139057533712483,-1.7772955470005065,-1.65051595974199,0.0,True,decreasing,False,1+,within_chatbot,MixedLM,0.0
drkhan,avg_word_length,0.05443421752247124,0.05250655258307838,0.0563618824618641,0.0,True,increasing,False,1+,within_chatbot,MixedLM,0.0
drkhan,medical_term_count,0.06014159224917352,0.05258697195225322,0.06769621254609383,6.936386424586598e-55,True,increasing,False,1+,within_chatbot,MixedLM,1.2551556387347175e-54
drkhan,urgency_score,0.0508457619663228,0.03562808883232878,0.06606343510031683,5.799625351532145e-11,True,increasing,False,1+,within_chatbot,CLMM,9.182740139925898e-11
drkhan,warning_signs_count,-0.06604202157525488,-0.07192510011680282,-0.06015894303370693,2.750514364556621e-107,True,decreasing,False,1+,within_chatbot,MixedLM,6.967969723543439e-107
drkhan,medication_specificity,-0.014871882803162524,-0.028687647326511995,-0.0010561182798130512,0.03487315216746419,True,decreasing,False,1+,within_chatbot,CLMM,0.03897587595187174
drkhan,differential_count,-0.002331663119696332,-0.008178465275124194,0.0035151390357315284,0.434438106653933,True,decreasing,False,1+,within_chatbot,MixedLM,0.458573557023596
